exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
dydx,ISOLATED,BABYDOGE-USD,20,1.388555422e-09,0.0,2551000000000.0,3542.204881522,2025-09-17
dydx,ISOLATED,BADGER-USD,20,1.059999999,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,BANANA-USD,20,21.66965015,2974.216,907.9,19673.875371184997,2025-09-17
dydx,CROSS,BCH-USD,10,597.2530931,14419.816,594.01,354774.30983233097,2025-09-17
dydx,ISOLATED,BCUT-USD,20,0.04690073536,0.0,0.0,0.0,2025-09-17
dydx,CROSS,BEAM-USD,5,0.00757278639,0.0,1968600.0,14907.787287354,2025-09-17
dydx,CROSS,BERA-USD,5,2.32926463,1730.064,271.9,633.3270528969999,2025-09-17
dydx,ISOLATED,BICO-USD,20,0.0994147659,0.0,0.0,0.0,2025-09-17
dydx,CROSS,BLAST-USD,5,0.00243897559,0.0,20068100.0,48945.606037679005,2025-09-17
dydx,CROSS,BLUR-USD,5,0.0846136852,17459.501,585120.0,49509.159484224,2025-09-17
dydx,CROSS,BNB-USD,10,958.4426755,299758.97,545.67,522993.41474008496,2025-09-17
dydx,ISOLATED,BODEN-USD,20,0.0020638314,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,BOME-USD,20,0.002048134725,0.0,0.0,0.0,2025-09-17
dydx,CROSS,BONK-USD,10,2.418159079e-05,90636.507,9699900000.0,234559.01250392103,2025-09-17
dydx,ISOLATED,BRETT-USD,20,0.0492892897,203782.019,922760.0,45482.184963572,2025-09-17
dydx,CROSS,BTC-USD,50,116711.30946,44544316.2648,472.4087,55135437.97729631,2025-09-17
dydx,ISOLATED,BTRUMP-USD,20,1.09441211e-06,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,CAKE-USD,20,2.578289144,0.0,10364.0,26721.388688416002,2025-09-17
dydx,ISOLATED,CETUS-USD,20,0.0900150075,0.0,105400.0,9487.581790499999,2025-09-17
dydx,CROSS,CHZ-USD,5,0.0416958479,38431.346,1953060.0,81434.492699574,2025-09-17
dydx,ISOLATED,"CIG,RAYDIUM,EXRQAUXS967FDKYMNXO4EQZEQIHEUBSTBCXPXXWPUMP-USD",20,4.65475918e-05,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,CLV-USD,20,0.0198,0.0,0.0,0.0,2025-09-17
dydx,CROSS,COMP-USD,5,44.69953759,9431.576,5808.2,259623.85423023798,2025-09-17
dydx,ISOLATED,COOKIE-USD,20,0.13047282614,0.0,6800.0,887.215217752,2025-09-17
dydx,ISOLATED,CORE-USD,20,0.448883967,0.0,3181.0,1427.899899027,2025-09-17
dydx,CROSS,CRO-USD,5,0.23133253301,24506.394,193900.0,44855.378150639,2025-09-17
dydx,CROSS,CRV-USD,10,0.7331165582,26657.03,431270.0,316171.178054914,2025-09-17
dydx,ISOLATED,CVX-USD,20,3.411,36834.173,3653.0,12460.383,2025-09-17
dydx,ISOLATED,DAI-USD,5,1.000240781,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,DAKU-USD,20,1.5179178e-06,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,DEGEN-USD,20,0.003561698466,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,DINNER-USD,20,0.00339191642976,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,DMAIL-USD,20,0.122414688,0.0,0.0,0.0,2025-09-17
dydx,CROSS,DOGE-USD,10,0.26888638038,3937734.664,12226900.0,3287646.8842682224,2025-09-17
dydx,CROSS,DOT-USD,10,4.231,124486.888,208029.0,880170.699,2025-09-17
dydx,CROSS,DRIFT-USD,5,0.6950390156,354047.959,43870.0,30491.361614372003,2025-09-17
dydx,CROSS,DYDX-USD,5,0.62790116,9899.215,1416728.0,889565.1546044799,2025-09-17
dydx,CROSS,DYM-USD,5,0.232112864,1832.941,106354.0,24686.131537856,2025-09-17
dydx,ISOLATED,EGLD-USD,20,13.99699849,4838.019,756.6,10590.129057533999,2025-09-17
dydx,CROSS,EIGEN-USD,5,1.523309323,45602.617,102355.0,155918.32575566502,2025-09-17
dydx,ISOLATED,ELX-USD,20,0.1349039615,24.717,1340.0,180.77130841000002,2025-09-17
dydx,CROSS,ENA-USD,5,0.6933336125,98240.797,1327780.0,920594.50400525,2025-09-17
dydx,ISOLATED,ENJ-USD,20,0.0695628251,0.0,51860.0,3607.5281096860003,2025-09-17
dydx,CROSS,ENS-USD,5,23.48,10229.82,1695.2,39803.296,2025-09-17
dydx,CROSS,EOS-USD,10,0.8167633526,0.0,0.0,0.0,2025-09-17
dydx,ISOLATED,ERA-USD,5,0.727263631,0.0,80.0,58.18109048,2025-09-17
dydx,ISOLATED,ES-USD,5,0.14785173,1.476,0.0,0.0,2025-09-17
